county,adults on arts males,adults on arts females,total adults on arts,aids related deaths(all),aids related deaths (adult),aids related deaths(children),deaths 10-19 years (adolescents),deaths 15-24 years (young adults),children on art,prevention of mother to child transmission need,prevention of mother to child transmission receiving,pmct coverage,mother to child transmission rate,new hiv infections,new infections(male),new infections(female),new infections(children 0-14years),new infections(adult 15+years),new infections(male 15+years),new infections(female 15+years),new infections(15-24 years),new infections(male 15-24 years),new infections(female 15-24 years),new infections(15-49),new infections(male) 15-49,new infections(female) 15-49,new infections(10-19),plhiv(all sexes),plhiv(children 0-14years),plhiv(adult 15+years),plhiv(adult 15+years) male,plhiv(adult 15+years) female,plhiv(15-24 years),plhiv(15-24 years)- male,plhiv(15-24 years)- female,plhiv adolescents (10-19),hiv prevelance(all sexes),hiv prevelance(male),hiv prevelance(female),incidence (per 1000),valid vl <15yrs,suppressed <15yrs,valid vl 15+male,suppressed 15+male,valid vl 15+female,suppressed 15+female
Tharaka Nithi,2698,5362,8060,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,80,1674,1576,3517,3351
Trans Nzoia,5983,13007,18990,0,0,0,0,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,570,4810,4633,11133,10767
Kericho,5418,11216,16634,604,545,56,24,43,634,710,654,0.9211,0.0804,417,148,269,81,336,107,229,129,26,103,317,98,219,51,18179,809,17369,6503,10865,1873,725,1148,1000,0.0215,0.0152,0.0278,0.51,369,315,3975,3786,8559,8245
Bomet,3808,8255,12063,353,316,37,17,28,599,444,435,0.9789,0.0637,204,74,129,54,149,46,103,60,12,48,141,43,99,22,10626,545,10081,3502,6578,1220,476,744,700,0.013500000000000002,0.0089,0.0179,0.24,331,280,2788,2652,6249,5947
Tana River,431,1029,1460,29,24,6,2,3,63,105,59,0.5611,0.18460000000000001,37,12,25,11,26,7,19,11,2,9,24,6,18,5,1708,105,1602,526,1077,186,71,116,126,0.0066,0.0042,0.0089,0.13,49,35,207,182,603,544
Samburu,549,1424,1973,115,102,16,7,10,133,217,65,0.29960000000000003,0.2602,88,32,56,27,61,18,42,26,6,21,58,17,41,10,3468,228,3239,1037,2202,448,177,270,285,0.014199999999999999,0.0088,0.0196,0.31,89,79,421,389,1047,976
Elgeyo Marakwet,1439,3285,4724,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,114,1028,971,2399,2287
Elgeyo-Marakwet,0,0,0,202,181,21,9,16,0,271,156,0.5749,0.18059999999999998,123,45,78,33,90,29,62,37,8,29,85,26,59,15,6084,312,5771,1960,3810,706,265,441,401,0.015,0.0097,0.0203,0.28,0,0,0,0,0,0
Murang'A,0,0,0,196,174,22,17,21,0,373,327,0.8769,0.0932,123,36,87,29,94,21,73,33,7,27,81,19,62,18,16984,623,16361,5468,10893,1362,586,776,1000,0.0151,0.0093,0.021,0.11,0,0,0,0,0,0
Taita-Taveta,0,0,0,148,127,18,7,12,0,264,219,0.8290000000000001,0.10710000000000001,132,48,83,30,101,33,69,34,7,27,91,29,63,15,8842,341,8500,2978,5523,683,266,417,392,0.025,0.0154,0.0363,0.38,0,0,0,0,0,0
Tharaka-Nithi,0,0,0,130,120,10,6,11,0,258,219,0.8473,0.1018,84,25,60,16,68,16,52,24,3,21,63,14,48,9,7115,269,6845,2365,4480,590,230,360,379,0.0174,0.0109,0.0239,0.22,0,0,0,0,0,0
Trans-Nzoia,0,0,0,493,442,52,23,39,0,899,717,0.7976000000000001,0.1162,257,96,161,76,181,57,124,72,15,57,169,52,118,31,14840,753,14086,5013,9072,1697,675,1022,1000,0.0168,0.0113,0.0223,0.26,0,0,0,0,0,0
